drug_a,drug_b,severity,description
Propranolol,Sertraline,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Fluoxetine,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Propranolol,Spironolactone,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alcohol,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Grapefruit Juice,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Nitroglycerin,Propranolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Paracetamol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Levothyroxine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Albuterol,Carvedilol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Tramadol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Sertraline,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Fluoxetine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Spironolactone,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alcohol,Carvedilol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Grapefruit Juice,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Carvedilol,Nitroglycerin,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Paracetamol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Levothyroxine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Albuterol,Bisoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Tramadol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Sertraline,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Fluoxetine,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Spironolactone,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alcohol,Bisoprolol,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Grapefruit Juice,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Bisoprolol,Nitroglycerin,Moderate,Beta-blockers can antagonize the bronchodilatory effects of beta-agonists like Albuterol and may precipitate severe bronchospasm in patients with asthma.
Alprazolam,Paracetamol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Levothyroxine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Albuterol,Alprazolam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Tramadol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Sertraline,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Fluoxetine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Spironolactone,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alcohol,Alprazolam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Grapefruit Juice,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alprazolam,Nitroglycerin,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Paracetamol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Levothyroxine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Albuterol,Clonazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Tramadol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Sertraline,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Fluoxetine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Spironolactone,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alcohol,Clonazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Grapefruit Juice,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Clonazepam,Nitroglycerin,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Lorazepam,Paracetamol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Levothyroxine,Lorazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Albuterol,Lorazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Lorazepam,Tramadol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Lorazepam,Sertraline,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Fluoxetine,Lorazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Lorazepam,Spironolactone,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alcohol,Lorazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Grapefruit Juice,Lorazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Lorazepam,Nitroglycerin,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Paracetamol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Levothyroxine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Albuterol,Diazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Tramadol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Sertraline,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Fluoxetine,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Spironolactone,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alcohol,Diazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Grapefruit Juice,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Diazepam,Nitroglycerin,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Paracetamol,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Levothyroxine,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Albuterol,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Temazepam,Tramadol,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Sertraline,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Fluoxetine,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Spironolactone,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Alcohol,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Grapefruit Juice,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Nitroglycerin,Temazepam,High,"Concurrent use results in additive central nervous system depression, severe psychomotor impairment, respiratory depression, and risk of coma."
Cetirizine,Paracetamol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Levothyroxine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Albuterol,Cetirizine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Tramadol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Sertraline,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Fluoxetine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Spironolactone,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Grapefruit Juice,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Cetirizine,Nitroglycerin,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Loratadine,Paracetamol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Levothyroxine,Loratadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Albuterol,Loratadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Loratadine,Tramadol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Loratadine,Sertraline,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fluoxetine,Loratadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Loratadine,Spironolactone,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Alcohol,Loratadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Grapefruit Juice,Loratadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Loratadine,Nitroglycerin,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Paracetamol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Levothyroxine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Albuterol,Fexofenadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Tramadol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Sertraline,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Fluoxetine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Spironolactone,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Alcohol,Fexofenadine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Grapefruit Juice,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Fexofenadine,Nitroglycerin,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Paracetamol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Levothyroxine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Albuterol,Diphenhydramine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Tramadol,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Sertraline,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Fluoxetine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Spironolactone,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Alcohol,Diphenhydramine,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Grapefruit Juice,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Diphenhydramine,Nitroglycerin,Low,"Concomitant use may enhance drowsiness, sedation, and psychomotor impairment. Caution is advised when driving."
Naproxen,Prednisone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Aspirin,Prednisone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Celecoxib,Prednisone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Diclofenac,Prednisone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Dexamethasone,Ibuprofen,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Dexamethasone,Naproxen,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Aspirin,Dexamethasone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Celecoxib,Dexamethasone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Dexamethasone,Diclofenac,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Ibuprofen,Methylprednisolone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Methylprednisolone,Naproxen,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Aspirin,Methylprednisolone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Celecoxib,Methylprednisolone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Diclofenac,Methylprednisolone,Moderate,"Concurrent administration increases the risk of gastrointestinal ulceration, irritation, and mucosal bleeding."
Atenolol,Insulin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Insulin,Propranolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Carvedilol,Insulin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Bisoprolol,Insulin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Metformin,Metoprolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Atenolol,Metformin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Metformin,Propranolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Carvedilol,Metformin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Bisoprolol,Metformin,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Glipizide,Metoprolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Atenolol,Glipizide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Glipizide,Propranolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Carvedilol,Glipizide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Bisoprolol,Glipizide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Glyburide,Metoprolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Atenolol,Glyburide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Glyburide,Propranolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Carvedilol,Glyburide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Bisoprolol,Glyburide,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Metoprolol,Pioglitazone,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Atenolol,Pioglitazone,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Pioglitazone,Propranolol,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Carvedilol,Pioglitazone,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Bisoprolol,Pioglitazone,Moderate,Beta-blockers may mask key warning symptoms of hypoglycemia (such as tachycardia) and delay recovery from low blood sugar.
Ciprofloxacin,Prednisone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Ciprofloxacin,Dexamethasone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Ciprofloxacin,Methylprednisolone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Levofloxacin,Prednisone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Dexamethasone,Levofloxacin,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Levofloxacin,Methylprednisolone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Moxifloxacin,Prednisone,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Dexamethasone,Moxifloxacin,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Methylprednisolone,Moxifloxacin,Moderate,"Co-administration increases the risk of tendonitis and tendon rupture, particularly in patients over 60 or those on long-term steroid therapy."
Amlodipine,Ciprofloxacin,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Amlodipine)s.
Ciprofloxacin,Diltiazem,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Diltiazem)s.
Ciprofloxacin,Verapamil,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Verapamil)s.
Ciprofloxacin,Nifedipine,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Nifedipine)s.
Amlodipine,Levofloxacin,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Amlodipine)s.
Diltiazem,Levofloxacin,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Diltiazem)s.
Levofloxacin,Verapamil,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Verapamil)s.
Levofloxacin,Nifedipine,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Nifedipine)s.
Amlodipine,Moxifloxacin,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Amlodipine)s.
Diltiazem,Moxifloxacin,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Diltiazem)s.
Moxifloxacin,Verapamil,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Verapamil)s.
Moxifloxacin,Nifedipine,Moderate,Fluoroquinolones may prolong the QT interval and increase the risk of ventricular arrhythmias when combined with certain calcium channel blocker (Nifedipine)s.
Omeprazole,Warfarin,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Apixaban,Omeprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Omeprazole,Rivaroxaban,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Heparin,Omeprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Pantoprazole,Warfarin,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Clopidogrel,Pantoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Apixaban,Pantoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Pantoprazole,Rivaroxaban,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Heparin,Pantoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Esomeprazole,Warfarin,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Clopidogrel,Esomeprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Apixaban,Esomeprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Esomeprazole,Rivaroxaban,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Esomeprazole,Heparin,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Lansoprazole,Warfarin,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Clopidogrel,Lansoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Apixaban,Lansoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Lansoprazole,Rivaroxaban,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Heparin,Lansoprazole,Moderate,"PPIs (especially Omeprazole) inhibit CYP2C19, reducing the bioactivation and antiplatelet efficacy of Clopidogrel."
Levothyroxine,Paracetamol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Paracetamol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Paracetamol,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Paracetamol,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Paracetamol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Paracetamol,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Paracetamol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Nitroglycerin,Paracetamol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Levothyroxine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Levothyroxine,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Levothyroxine,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Levothyroxine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Levothyroxine,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Levothyroxine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Levothyroxine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
